"year","firm","asst","liab","eqty","sales","cost_sales","indst"
2019,"깨끗한나라",54,38,16,59,51,"제조업"
2019,"토니모리",24,14,10,17,7,"제조업"
2019,"유니온머티리얼",17,9,9,11,9,"제조업"
2019,"DB금융투자",842,761,81,30,NA,"증권업"
2019,"LS네트웍스",117,65,52,40,30,"제조업"
2019,"대한제당",114,68,46,120,107,"제조업"
2019,"성신양회",103,63,40,71,57,"제조업"
2019,"일신방직",95,23,72,50,40,"제조업"
2019,"인지컨트롤스",51,32,19,49,44,"제조업"
2019,"동일산업",40,5,35,35,34,"제조업"
2019,"HSD엔진",83,64,19,67,66,"제조업"
2019,"키다리스튜디오",4,2,2,3,2,"제조업"
2019,"HDC아이콘트롤스",24,7,17,25,23,"제조업"
2019,"국동",13,7,6,22,19,"제조업"
2019,"한신공영",165,114,51,162,143,"제조업"
2019,"써니전자",6,1,5,3,2,"제조업"
2019,"삼영전자",50,2,48,20,18,"제조업"
2019,"KTB투자증권",286,228,58,23,NA,"증권업"
2019,"지엠비코리아",49,25,23,48,41,"제조업"
2019,"테이팩스",15,4,10,11,9,"제조업"
2019,"화성산업",61,24,37,45,38,"제조업"
2019,"일신석재",9,4,5,7,6,"제조업"
2019,"BYC",69,26,43,17,10,"제조업"
2019,"서원",22,11,11,26,24,"제조업"
2019,"진양홀딩스",51,14,37,23,19,"제조업"
2019,"쌍방울",34,17,17,10,7,"제조업"
2019,"KC코트렐",33,26,8,30,27,"제조업"
2019,"코오롱플라스틱",34,14,20,33,29,"제조업"
2019,"SIMPAC",68,24,44,43,39,"제조업"
2019,"미원홀딩스",32,12,20,19,16,"제조업"
2019,"남성",20,12,9,7,5,"제조업"
2019,"삼일제약",18,12,6,12,7,"제조업"
2019,"사조산업",114,65,49,74,68,"제조업"
2019,"핸즈코퍼레이션",85,53,32,62,54,"제조업"
2019,"태경산업",56,22,34,52,42,"제조업"
2019,"큐로",22,12,10,15,12,"제조업"
2019,"신라교역",62,10,52,37,33,"제조업"
2019,"GS글로벌",121,83,38,389,374,"제조업"
2019,"대성에너지",70,39,31,77,66,"제조업"
2019,"STX엔진",83,59,24,61,54,"제조업"
2019,"백광산업",33,16,17,17,12,"제조업"
2019,"보락",6,1,4,4,3,"제조업"
2019,"대우부품",8,4,4,5,5,"제조업"
2019,"이엔플러스",12,7,5,4,4,"제조업"
2019,"노루페인트",63,30,32,65,50,"제조업"
2019,"성창기업지주",70,18,53,15,13,"제조업"
2019,"대성산업",103,65,39,87,77,"제조업"
2019,"범양건영",14,7,7,28,26,"제조업"
2019,"한솔홀딩스",67,21,46,54,48,"제조업"
2019,"유수홀딩스",52,19,33,37,30,"제조업"
2019,"화승알앤에이",121,95,26,155,127,"제조업"
2019,"DB",36,15,21,24,18,"제조업"
2019,"삼일씨엔에스",34,6,28,20,17,"제조업"
2019,"동남합성",10,2,7,13,11,"제조업"
2019,"마니커",18,9,9,24,24,"제조업"
2019,"샘표",34,8,26,28,15,"제조업"
2019,"삼화페인트",56,28,28,54,44,"제조업"
2019,"신일전자",10,3,7,15,11,"제조업"
2019,"크라운해태홀딩스",124,78,46,106,70,"제조업"
2019,"광전자",26,4,22,17,15,"제조업"
2019,"DRB동일",75,28,46,55,43,"제조업"
2019,"벽산",46,17,29,43,37,"제조업"
2019,"수산중공업",18,8,10,16,13,"제조업"
2019,"한농화성",16,4,12,20,18,"제조업"
2019,"모나미",18,11,8,13,9,"제조업"
2019,"동일고무벨트",28,9,19,26,22,"제조업"
2019,"유화증권",62,16,46,2,NA,"증권업"
2019,"한라",159,133,26,130,113,"제조업"
2019,"조선선재",12,1,11,6,4,"제조업"
2019,"카프로",36,18,18,44,47,"제조업"
2019,"디씨엠",21,3,17,15,12,"제조업"
2019,"사조대림",107,65,42,133,114,"제조업"
2019,"삼익악기",61,39,22,27,19,"제조업"
2019,"디아이",21,7,14,11,8,"제조업"
2019,"디와이파워",26,10,17,34,29,"제조업"
2019,"한창제지",17,9,9,18,15,"제조업"
2019,"백산",33,19,14,47,38,"제조업"
2019,"서연이화",182,120,62,198,177,"제조업"
2019,"센트럴인사이트",5,4,1,7,6,"제조업"
2019,"동아타이어",39,3,36,16,13,"제조업"
2019,"한전산업",19,10,9,31,27,"제조업"
2019,"동양철관",16,8,8,16,15,"제조업"
2019,"미원화학",12,2,10,15,13,"제조업"
2019,"노루홀딩스",101,44,57,88,67,"제조업"
2019,"사조동아원",47,27,20,41,37,"제조업"
2019,"대영포장",21,6,15,27,23,"제조업"
2019,"삼화전기",13,6,6,20,17,"제조업"
2019,"부산산업",14,6,8,14,12,"제조업"
2019,"현대비앤지스틸",61,21,40,73,66,"제조업"
2019,"디와이",75,28,47,85,75,"제조업"
2019,"신원",40,20,20,67,50,"제조업"
2019,"세이브존I&C",58,13,45,16,6,"제조업"
2019,"KC그린홀딩스",82,52,29,70,56,"제조업"
2019,"SG세계물산",29,8,20,31,22,"제조업"
2019,"신흥",15,6,9,12,9,"제조업"
2019,"극동유화",29,12,17,80,75,"제조업"
2019,"STX중공업",45,31,14,25,24,"제조업"
2019,"시디즈",7,4,3,19,15,"제조업"
2019,"한양증권",182,153,29,11,NA,"증권업"
2019,"일진디스플",13,8,5,10,11,"제조업"
2019,"텔코웨어",13,2,11,4,3,"제조업"
2019,"한진중공업홀딩스",186,150,36,88,76,"제조업"
2019,"S&TC",33,9,24,21,18,"제조업"
2019,"금강공업",83,49,35,55,46,"제조업"
2019,"경동도시가스",75,41,34,142,131,"제조업"
2019,"보해양조",17,9,8,8,6,"제조업"
2019,"인천도시가스",37,18,18,57,50,"제조업"
2019,"NPC",40,12,28,45,39,"제조업"
2019,"사조씨푸드",35,14,20,35,32,"제조업"
2019,"STX",56,50,6,147,142,"제조업"
2019,"까뮤이앤씨",17,10,7,28,26,"제조업"
2019,"강남제비스코",67,11,56,33,29,"제조업"
2019,"대창",58,36,22,90,85,"제조업"
2019,"대한화섬",61,8,53,11,10,"제조업"
2019,"미창석유",30,4,26,32,29,"제조업"
2019,"덕성",10,4,6,9,7,"제조업"
2019,"콤텍시스템",16,7,9,24,21,"제조업"
2019,"이건산업",42,24,18,28,24,"제조업"
2019,"일동홀딩스",81,48,32,29,18,"제조업"
2019,"그린케미칼",19,8,11,23,22,"제조업"
2019,"한미글로벌",20,8,12,29,21,"제조업"
2019,"크라운제과",33,19,14,39,25,"제조업"
2019,"세화아이엠씨",16,14,2,10,9,"제조업"
2019,"제주은행",619,570,50,20,8,"은행업"
2019,"일진전기",78,48,30,67,61,"제조업"
2019,"영흥",31,14,17,20,18,"제조업"
2019,"대양금속",9,2,7,15,14,"제조업"
2019,"대창단조",24,5,19,28,24,"제조업"
