Symbol,Name,year,profit,oper_income,net_income
A011780,금호석유,2019,11.36,7.39,5.92
A161390,한국타이어앤테크놀로지,2018,30.96,10.34,7.81
A161390,한국타이어앤테크놀로지,2019,27.92,7.90,6.24
A267250,현대중공업지주,2018,6.96,3.16,1.04
A267250,현대중공업지주,2019,6.87,2.50,0.43
A010140,삼성중공업,2018,-0.08,-7.77,-7.37
A010140,삼성중공업,2019,0.83,-8.39,-17.90
A002790,아모레G,2018,73.37,9.04,6.19
A002790,아모레G,2019,73.87,7.93,4.49
A029780,삼성카드,2018,74.20,14.27,10.29
A029780,삼성카드,2019,74.56,13.65,10.45
A011070,LG이노텍,2018,10.82,3.30,2.04
A011070,LG이노텍,2019,12.39,4.86,1.23
A000720,현대건설,2018,9.93,5.02,3.20
A000720,현대건설,2019,9.99,4.98,3.32
A000120,CJ대한통운,2018,8.98,2.63,0.72
A000120,CJ대한통운,2019,9.34,2.95,0.49
A008930,한미사이언스,2018,100.00,1.55,2.55
A008930,한미사이언스,2019,100.00,1.98,3.76
A078930,GS,2018,23.07,12.45,5.81
A078930,GS,2019,22.39,11.43,3.76
A004990,롯데지주,2018,27.17,1.35,1.52
A004990,롯데지주,2019,29.27,1.97,-4.65
A016360,삼성증권,2018,23.19,9.37,6.83
A016360,삼성증권,2019,18.36,7.78,5.89
A128940,한미약품,2018,53.24,8.23,3.36
A128940,한미약품,2019,56.79,9.33,5.73
A005830,DB손해보험,2018,66.79,4.13,3.08
A005830,DB손해보험,2019,64.46,2.74,2.05
A241560,두산밥캣,2018,22.20,11.56,6.66
A241560,두산밥캣,2019,21.73,10.58,6.03
A012750,에스원,2018,27.11,9.87,5.10
A012750,에스원,2019,25.27,9.15,6.82
A008770,호텔신라,2018,100.00,4.44,2.34
A008770,호텔신라,2019,100.00,5.17,2.96
A012510,더존비즈온,2018,56.00,23.80,18.73
A012510,더존비즈온,2019,56.83,25.43,19.43
A005940,NH투자증권,2018,13.33,5.84,3.91
A005940,NH투자증권,2019,12.06,5.00,4.14
A011790,SKC,2018,17.30,7.27,5.10
A011790,SKC,2019,17.44,6.11,2.65
A026960,동서,2018,16.03,7.67,21.36
A026960,동서,2019,16.69,7.66,27.98
A000210,대림산업,2018,12.93,7.70,6.17
A000210,대림산업,2019,17.09,11.65,7.32
A042660,대우조선해양,2018,7.79,10.63,3.32
A042660,대우조선해양,2019,5.61,3.50,-0.56
A003410,쌍용양회,2018,26.12,16.35,9.73
A003410,쌍용양회,2019,25.03,14.85,8.55
A023530,롯데쇼핑,2018,42.13,3.35,-2.61
A023530,롯데쇼핑,2019,42.21,2.43,-4.63
A039490,키움증권,2018,28.79,13.46,9.00
A039490,키움증권,2019,28.30,15.50,11.84
A036460,한국가스공사,2018,6.40,4.88,2.01
A036460,한국가스공사,2019,7.03,5.34,0.23
A081660,휠라홀딩스,2018,49.67,12.09,7.11
A081660,휠라홀딩스,2019,50.13,13.64,9.80
A336260,두산퓨얼셀,2018,,,
A336260,두산퓨얼셀,2019,11.60,8.81,5.37
A007070,GS리테일,2018,21.16,2.07,1.52
A007070,GS리테일,2019,21.56,2.65,1.59
A028050,삼성엔지니어링,2018,10.00,3.76,1.28
A028050,삼성엔지니어링,2019,11.97,6.05,4.64
A008560,메리츠증권,2018,11.84,6.09,4.96
A008560,메리츠증권,2019,9.73,5.71,4.66
A006360,GS건설,2018,12.39,8.10,4.47
A006360,GS건설,2019,13.42,7.37,4.30
A030000,제일기획,2018,31.13,5.21,3.79
A030000,제일기획,2019,34.05,6.01,4.08
A282330,BGF리테일,2018,17.65,3.28,2.67
A282330,BGF리테일,2019,17.77,3.31,2.55
A000080,하이트진로,2018,40.40,4.80,1.18
A000080,하이트진로,2019,42.84,4.34,-2.08
A001040,CJ,2018,28.29,4.51,2.98
A001040,CJ,2019,27.07,4.47,0.96
A004170,신세계,2018,55.81,7.66,5.49
A004170,신세계,2019,51.11,7.32,9.28
A047810,한국항공우주,2018,13.44,5.25,1.99
A047810,한국항공우주,2019,15.43,8.86,5.41
A028670,팬오션,2018,10.42,7.64,5.57
A028670,팬오션,2019,11.66,8.51,5.99
A009240,한샘,2018,26.54,2.91,4.66
A009240,한샘,2019,27.88,3.28,2.52
A001450,현대해상,2018,69.63,3.39,2.37
A001450,현대해상,2019,66.85,2.35,1.60
A020150,일진머티리얼즈,2018,15.84,9.71,8.23
A020150,일진머티리얼즈,2019,14.07,8.51,8.51
A204320,만도,2018,12.79,3.48,1.99
A204320,만도,2019,13.94,3.65,1.98
A007310,오뚜기,2018,17.76,6.75,7.16
A007310,오뚜기,2019,17.31,6.28,4.23
A112610,씨에스윈드,2018,16.22,6.52,1.40
A112610,씨에스윈드,2019,14.21,7.52,4.34
A000880,한화,2018,8.74,3.71,1.64
A000880,한화,2019,7.44,2.23,0.46
A138930,BNK금융지주,2018,45.96,14.71,10.55
A138930,BNK금융지주,2019,41.42,15.28,11.34
A014680,한솔케미칼,2018,27.14,16.08,11.64
A014680,한솔케미칼,2019,29.91,18.96,15.49
A006260,LS,2018,12.49,3.57,4.83
A006260,LS,2019,12.28,2.68,0.91
A042670,두산인프라코어,2018,23.21,10.97,5.10
A042670,두산인프라코어,2019,23.36,10.27,4.83
A004370,농심,2018,30.04,3.96,3.77
A004370,농심,2019,30.63,3.36,3.03
A009420,한올바이오파마,2018,53.38,5.96,3.59
A009420,한올바이오파마,2019,57.89,15.76,17.68
A088350,한화생명,2018,45.40,2.77,1.91
A088350,한화생명,2019,43.81,0.20,0.23
A185750,종근당,2018,39.78,7.92,4.36
A185750,종근당,2019,37.46,6.91,4.91
A047050,포스코인터내셔널,2018,3.87,1.88,0.46
A047050,포스코인터내셔널,2019,4.60,2.48,0.83
A000060,메리츠화재,2018,65.57,3.71,2.79
A000060,메리츠화재,2019,61.33,3.49,2.98
A064350,현대로템,2018,-0.65,-8.13,-12.77
A064350,현대로템,2019,-3.81,-11.38,-14.46
A004800,효성,2018,14.99,5.16,114.10
A004800,효성,2019,16.15,7.02,4.45
A307950,현대오토에버,2018,10.21,4.93,3.88
A307950,현대오토에버,2019,10.41,5.10,3.62
A069960,현대백화점,2018,81.18,19.15,15.43
A069960,현대백화점,2019,73.98,13.29,11.05
A017800,현대엘리베이,2018,19.88,7.62,0.08
A017800,현대엘리베이,2019,20.14,7.27,2.33
A010120,LS ELECTRIC,2018,19.27,8.25,5.32
A010120,LS ELECTRIC,2019,19.45,7.18,4.39
A005250,녹십자홀딩스,2018,26.25,3.19,1.25
A005250,녹십자홀딩스,2019,28.19,1.99,-2.00
A010620,현대미포조선,2018,7.14,2.95,5.02
A010620,현대미포조선,2019,6.38,3.09,2.04
A010060,OCI,2018,11.75,5.10,3.34
A010060,OCI,2019,1.54,-6.93,-30.99
A003000,부광약품,2018,59.21,18.09,74.99
A003000,부광약품,2019,50.09,5.67,-4.42
A000990,DB하이텍,2018,32.17,16.88,12.97
A000990,DB하이텍,2019,36.43,22.45,12.96
A002380,KCC,2018,23.14,6.52,-0.75
A002380,KCC,2019,23.49,4.90,-8.16
A006650,대한유화,2018,14.71,12.48,10.08
A006650,대한유화,2019,7.73,5.49,5.13
A047040,대우건설,2018,9.71,5.93,2.80
A047040,대우건설,2019,9.88,4.21,2.33
A000240,한국테크놀로지그룹,2018,33.51,24.94,25.75
A000240,한국테크놀로지그룹,2019,30.58,20.16,19.26
A181710,NHN,2018,100.00,5.43,8.28
A181710,NHN,2019,100.00,5.82,1.56
A138040,메리츠금융지주,2018,6.61,4.66,3.72
A138040,메리츠금융지주,2019,5.72,4.31,3.53
A007700,F&F,2018,65.88,13.68,16.35
A007700,F&F,2019,67.77,16.56,12.08
A012450,한화에어로스페이스,2018,17.92,1.19,1.11
A012450,한화에어로스페이스,2019,19.41,3.14,3.09
A294870,HDC현대산업개발,2018,16.08,11.38,8.23
A294870,HDC현대산업개발,2019,17.87,13.08,9.81
A004000,롯데정밀화학,2018,21.89,15.36,15.67
