date,kor,usa,jpn,uk
2004-07-15,-0.47,-0.33,-2.17,0.34
2004-07-16,1.01,-0.43,0.46,-0.73
2004-07-19,1.58,-0.48,0.24,-0.03
2004-07-20,-1.87,-0.04,,-0.42
2004-07-21,2.33,0.71,-1.55,0.42
2004-07-22,-1.47,-1.33,1.56,0.87
2004-07-23,-0.73,0.27,-1.3,-1.62
2004-07-26,-0.17,-0.97,-0.87,0.46
2004-07-27,0.46,-0.2,-0.25,-0.91
2004-07-28,0.93,0.99,-1.15,0.88
2004-07-29,-2.03,0.05,1.57,0.72
2004-07-30,0.72,0.46,-0.78,1.43
2004-08-02,-2.18,0.12,1.88,-0.13
2004-08-03,1.09,0.44,-0.91,0.06
2004-08-04,0.4,-0.63,-0.73,0.32
2004-08-05,1.82,-0.1,-1.17,-0.49
2004-08-06,-1.53,-1.63,0.46,0.12
2004-08-09,1.31,-1.55,-0.8,-1.71
2004-08-10,0.67,0.12,-0.58,-0.54
2004-08-11,0.53,1.3,0.41,0.85
2004-08-12,1.87,-0.3,0.88,-0.89
2004-08-13,1.11,-1.17,-0.19,0.37
2004-08-16,-0.43,0.15,-2.46,-0.61
2004-08-17,-0.75,1.37,-0.65,1.13
2004-08-18,0.52,0.22,0.36,0.2
2004-08-19,1.71,1.24,0.45,-0.08
2004-08-20,-0.32,-0.36,1.2,0.17
2004-08-23,0.06,0.65,-0.13,0.15
2004-08-24,0.57,-0.24,0.66,0.83
2004-08-25,1.35,0.05,0.22,0.05
2004-08-26,0.37,0.8,1.32,0.09
2004-08-27,0.13,0.01,-0.01,0.96
2004-08-30,-0.3,0.24,0.72,0.81
2004-08-31,-0.17,-0.78,-0.22,
2004-09-01,1.75,0.46,-0.92,-0.69
2004-09-02,0.93,0.15,0.41,0.96
2004-09-03,-0.78,1.12,0.23,0.37
2004-09-06,0.65,-0.42,-1.17,0.71
2004-09-07,-0.52,,2.01,0.29
2004-09-08,-0.5,0.69,0.49,0.04
2004-09-09,0.91,-0.45,-0.17,-0.16
2004-09-10,1.83,0.19,-0.96,-0.45
2004-09-13,2.09,0.5,-0.79,0.15
2004-09-14,-0.26,0.17,1.53,0.3
2004-09-15,0,0.22,0.38,-0.28
2004-09-16,0.85,-0.71,-1.21,0.06
2004-09-17,-0.8,0.28,-0.17,0.18
2004-09-20,0.97,0.45,-0.51,0.76
2004-09-21,0.04,-0.56,,-0.25
2004-09-22,-2.62,0.63,-0.01,0.63
2004-09-23,-0.55,-1.39,-0.55,-0.35
2004-09-24,0.36,-0.47,,-0.52
2004-09-30,0.34,0.16,-1.13,0.21
2004-10-01,1.61,-0.02,0.35,-0.38
2004-10-04,4.2,1.52,1.49,1.94
2004-10-05,0.02,0.32,2.68,0.48
2004-10-06,0.35,-0.06,0.02,0.54
2004-10-07,-0.24,0.67,0.92,-0.02
2004-10-08,-0.31,-1,-0.27,-0.16
2004-10-11,0,-0.75,-0.05,0
2004-10-12,-2.94,0.2,,-0.29
2004-10-13,-0.05,-0.23,-1.3,-0.8
2004-10-14,-1.13,-0.73,-0.05,-0.28
2004-10-15,-0.69,-0.93,-1.44,-0.12
2004-10-18,0.76,0.45,-0.47,-0.14
2004-10-19,0.92,0.53,-0.16,0.08
2004-10-20,-3,-0.97,0.91,0.62
2004-10-21,-1.08,0.04,-1.65,-0.83
2004-10-22,0.96,0.26,-0.85,0.02
2004-10-25,-2.5,-0.97,0.63,-0.04
2004-10-26,0.82,-0.08,-1.82,-1.1
2004-10-27,-0.33,1.49,0.12,0.41
2004-10-28,3,1.29,0.18,1.02
2004-10-29,0.2,0.18,1.51,0.27
2004-11-01,0.17,0.24,-0.75,-0.4
2004-11-02,1.39,0.03,-0.34,1.07
2004-11-03,1.74,0,1.43,0.42
2004-11-04,-1.15,1.12,,0.54
2004-11-05,1.11,1.62,0.54,0.21
2004-11-08,-1.95,0.39,1.06,0.24
2004-11-09,-0.27,-0.11,-0.7,-0.49
2004-11-10,1.97,-0.07,-0.17,0.02
2004-11-11,0.04,-0.1,0.27,0.36
2004-11-12,1.95,0.91,-1.35,0.9
2004-11-15,0.6,0.91,1.6,0.36
2004-11-16,-0.69,-0.03,1.88,0.19
2004-11-17,1.16,-0.71,-0.59,-0.68
2004-11-18,-1.12,0.55,-0.27,0.53
2004-11-19,-1.11,0.14,-0.44,0.2
2004-11-22,-2,-1.12,0,-0.93
2004-11-23,1.23,0.59,-2.11,-0.58
2004-11-24,1.4,-0.03,,0.2
2004-11-25,-0.13,0.41,0.21,-0.48
2004-11-26,-1.7,,0.26,0.72
2004-11-29,0.85,0.08,-0.61,-0.25
2004-11-30,1.59,-0.34,1.33,0.18
2004-12-01,-0.27,-0.4,-0.72,-0.98
2004-12-02,0.86,1.5,-1.06,0.69
2004-12-03,-0.09,-0.09,1.75,0.33
2004-12-06,-1.4,0.07,0.93,-0.07
2004-12-07,-1.21,-0.08,-0.84,-0.53
2004-12-08,1.04,-1.11,-0.99,0.12
2004-12-09,-1.14,0.49,0.62,-0.52
2004-12-10,-2.08,0.54,-1.51,-0.33
2004-12-13,-0.19,-0.1,-0.18,0.12
2004-12-14,0.94,0.9,0.3,0.91
2004-12-15,2.28,0.39,1.17,-0.3
2004-12-16,0.57,0.19,0.37,0.11
2004-12-17,0.11,-0.21,-0.29,0.15
2004-12-20,0.73,-0.75,1.41,-0.81
2004-12-21,0.05,0.04,0.23,0.73
2004-12-22,0.13,0.9,0.2,0.04
2004-12-23,-0.99,0.34,0.75,0.94
2004-12-24,0.54,0.05,,0.22
2004-12-27,-0.13,,1.39,0.22
2004-12-28,0.22,-0.43,-0.03,
2004-12-29,0.52,0.72,0.54,
2004-12-30,1.24,-0.01,-0.37,0.45
2005-01-03,0.1,0.01,0.94,0.01
2005-01-04,-0.51,-0.81,,
2005-01-05,-0.1,-1.17,,0.68
2005-01-06,-1.49,-0.36,-0.7,-0.85
2005-01-07,-0.2,0.35,0.48,0.38
2005-01-10,0.5,-0.14,-0.51,0.62
2005-01-11,1.23,0.34,,-0.28
2005-01-12,-0.5,-0.61,0.93,-0.45
2005-01-13,0.81,0.4,-0.75,-0.73
2005-01-14,2.44,-0.86,-0.83,0.35
2005-01-17,1.77,0.6,0.71,0.43
2005-01-18,-0.34,,0.43,0.54
2005-01-19,-0.5,0.97,-0.56,-0.47
2005-01-20,-0.74,-0.95,-0.16,-0.12
2005-01-21,1.17,-0.78,-1.06,-0.36
2005-01-24,0.36,-0.64,-0.41,0.05
2005-01-25,-0.77,-0.35,0.45,0.19
2005-01-26,1.35,0.4,-0.11,0.64
2005-01-27,-0.29,0.48,0.88,0.08
2005-01-28,-0.42,0.04,-0.31,0.13
2005-01-31,1.18,-0.27,-0.18,-0.42
2005-02-01,-0.88,0.85,0.59,0.4
2005-02-02,-0.22,0.69,-0.03,1.11
2005-02-03,0.75,0.32,0.2,0.2
2005-02-04,0.55,-0.28,-0.16,-0.16
2005-02-07,1.57,1.1,-0.25,0.68
2005-02-11,-0.29,-0.11,1.23,0.78
2005-02-14,1.71,0.69,,0.88
2005-02-15,0.43,0.07,0.68,-0.05
2005-02-16,0.29,0.33,0.12,0.34
2005-02-17,0.06,0.02,-0.38,-0.11
2005-02-18,1.19,-0.79,-0.16,0.08
2005-02-21,0.52,0.07,0.67,0
2005-02-22,-1.05,0,-0.08,0.07
2005-02-23,-0.95,-1.45,-0.46,-0.55
2005-02-24,1.82,0.56,-0.84,-0.88
2005-02-25,1.03,0.79,0.27,-0.33
2005-02-28,1.33,0.93,1.1,0.7
2005-03-02,-0.54,-0.64,0.71,-0.76
2005-03-03,0.36,-0.03,0.28,-0.15
2005-03-04,0,0.03,0.36,0.44
2005-03-07,-0.38,0.96,0.14,0.43
2005-03-08,-0.69,0.26,0.44,-0.18
2005-03-09,0.81,-0.48,-0.32,-0.32
2005-03-10,-1.15,-1.02,0.67,-0.3
2005-03-11,2.49,0.19,-0.85,-0.68
2005-03-14,-0.38,-0.76,0.5,0.4
2005-03-15,-2.68,0.56,-0.62,-0.14
2005-03-16,0.17,-0.75,-0.25,0.51
2005-03-17,-1.16,-0.81,0.44,-1.25
2005-03-18,0.11,0.18,-0.82,-0.31
2005-03-21,0.02,-0.05,0.89,0.02
2005-03-22,0.02,-0.49,,0.21
2005-03-23,-1.35,-1.02,-0.32,0.08
2005-03-24,-1.09,0.07,-0.87,-0.54
2005-03-25,1.03,-0.09,0.06,0.25
2005-03-28,1.32,,0.13,
2005-03-29,-2.04,0.24,0.27,
2005-03-30,-0.52,-0.76,-1.63,-0.07
2005-03-31,1.04,1.38,-0.29,-0.37
2005-04-01,1.68,-0.07,0.89,-0.13
2005-04-04,0.27,-0.65,0.47,0.4
2005-04-06,0.5,0.27,-0.48,-0.35
2005-04-07,0.05,0.23,0.45,0.09
2005-04-08,0.41,0.6,-0.14,0.6
2005-04-11,-0.66,-0.83,0.54,0.13
2005-04-12,-0.27,0,-1.09,-0.21
2005-04-13,0.03,0.55,-0.64,-0.54
2005-04-14,-3.13,-1.18,-0.28,0.3
2005-04-15,-0.71,-1,-0.64,-0.31
2005-04-18,-2.16,-1.67,-1.66,-1.09
2005-04-19,0.62,0.29,-3.8,-1.32
2005-04-20,0.46,0.59,1.16,0.59
2005-04-21,0.21,-1.33,0.21,-0.69
2005-04-22,0.04,1.97,-0.94,-0.05
2005-04-25,0.59,-0.68,0.56,0.62
2005-04-26,-0.13,0.87,0.25,0.32
2005-04-27,-1.61,-0.89,-0.34,-0.4
2005-04-28,-1.33,0.4,-0.28,-1.16
2005-04-29,-0.66,-1.14,0.03,0.02
2005-05-02,0.75,1.19,,0.24
2005-05-03,-0.48,0.46,-0.06,
2005-05-04,1.75,-0.09,,1.24
2005-05-06,1.09,1.25,,0.44
