date,kor,usa,jpn,uk
2015-01-05,-0.22,-0.03,,-0.28
2015-01-06,-1.77,-1.83,-0.24,-2
2015-01-07,0.25,-0.89,-3.02,-0.79
2015-01-08,1.42,1.16,0.01,0.84
2015-01-09,0.86,1.79,1.67,2.34
2015-01-12,-0.14,-0.84,0.18,-1.05
2015-01-13,0.24,-0.81,,0
2015-01-14,-0.12,-0.26,-0.64,0.63
2015-01-15,-0.09,-0.58,-1.71,-2.35
2015-01-16,-1.44,-0.92,1.86,1.73
2015-01-19,1.06,1.34,-1.43,0.79
2015-01-20,1,,0.89,0.54
2015-01-21,0.55,0.15,2.07,0.52
2015-01-22,-0.05,0.47,-0.49,1.63
2015-01-23,0.74,1.53,0.28,1.02
2015-01-26,-0.07,-0.55,1.05,0.53
2015-01-27,0.82,0.26,-0.25,0.29
2015-01-28,0,-1.34,1.72,-0.6
2015-01-29,-0.69,-1.35,0.15,0.21
2015-01-30,-0.23,0.95,-1.06,-0.22
2015-02-02,0.29,-1.3,0.39,-0.9
2015-02-03,-0.09,1.3,-0.66,0.49
2015-02-04,0.49,1.44,-1.27,1.32
2015-02-05,-0.72,-0.42,1.98,-0.17
2015-02-06,0.15,1.03,-0.98,0.09
2015-02-09,-0.36,-0.34,0.82,-0.18
2015-02-10,-0.64,-0.42,0.36,-0.24
2015-02-11,0.3,1.07,-0.33,-0.12
2015-02-12,-0.28,0,,-0.16
2015-02-13,0.83,0.96,1.85,0.15
2015-02-16,0.02,0.41,-0.37,0.67
2015-02-17,0.22,,0.51,-0.24
2015-02-23,0.17,0.16,-0.1,0.6
2015-02-24,0.19,-0.03,0.73,-0.04
2015-02-25,0.67,0.28,0.74,0.54
2015-02-26,-0.01,-0.08,-0.1,-0.21
2015-02-27,-0.58,-0.15,1.08,0.21
2015-03-02,0.87,-0.3,0.06,-0.04
2015-03-03,0.34,0.61,0.15,-0.09
2015-03-04,-0.07,-0.45,-0.06,-0.74
2015-03-05,-0.06,-0.44,-0.59,0.44
2015-03-06,0.71,0.12,0.26,0.61
2015-03-09,-1.25,-1.42,1.17,-0.71
2015-03-10,-0.4,0.39,-0.95,-0.51
2015-03-11,0.16,-1.7,-0.67,-2.52
2015-03-12,-0.75,-0.19,0.31,0.28
2015-03-13,0.76,1.26,1.43,0.59
2015-03-16,0.1,-0.61,1.39,-0.3
2015-03-17,2.27,1.35,-0.04,0.94
2015-03-18,0.02,-0.33,0.99,0.49
2015-03-19,0.3,1.22,0.55,1.57
2015-03-20,-0.11,-0.49,-0.35,0.25
2015-03-23,0.1,0.9,0.43,0.86
2015-03-24,0.08,-0.17,0.99,0.22
2015-03-25,-0.08,-0.61,-0.21,-0.26
2015-03-26,-1.14,-1.46,0.17,-0.41
2015-03-27,-0.18,-0.24,-1.39,-1.37
2015-03-30,0.22,0.24,-0.95,-0.58
2015-03-31,0.46,1.22,0.65,0.53
2015-04-01,-0.9,-0.88,-1.05,-1.72
2015-04-02,0.01,-0.4,-0.9,0.54
2015-04-03,0.69,0.35,1.46,0.35
2015-04-06,0.07,,0.63,
2015-04-07,-0.02,0.66,-0.19,
2015-04-08,0.63,-0.21,1.25,1.88
2015-04-09,-0.07,0.27,0.76,-0.35
2015-04-10,1.4,0.45,0.75,1.12
2015-04-13,0.58,0.52,-0.15,1.06
2015-04-14,0.79,-0.46,-0.01,-0.36
2015-04-15,0.08,0.16,0.02,0.16
2015-04-16,1.01,0.51,-0.2,0.3
2015-04-17,-0.06,-0.08,0.08,-0.51
2015-04-20,0.1,-1.13,-1.17,-0.93
2015-04-21,-0.14,0.92,-0.09,0.82
2015-04-22,0.18,-0.15,1.4,0.15
2015-04-23,1.47,0.51,1.13,-0.49
2015-04-24,-0.56,0.24,0.27,0.36
2015-04-27,-0.37,0.23,-0.83,0.24
2015-04-28,-0.56,-0.41,-0.18,0.47
2015-04-29,-0.19,0.28,0.38,-1.03
2015-04-30,-0.6,-0.37,,-1.2
2015-05-04,0.34,-1.01,-2.69,0.21
2015-05-06,-1.23,0.29,,
2015-05-07,-0.59,-0.45,,0.09
2015-05-08,-0.63,0.38,-1.23,-0.67
2015-05-11,0.26,1.35,0.45,2.32
2015-05-12,-0.03,-0.51,1.25,-0.24
2015-05-13,0.7,-0.29,0.02,-1.37
2015-05-14,0.17,-0.03,0.71,0.23
2015-05-15,-0.89,1.08,-0.98,0.34
2015-05-18,0.24,0.08,0.83,-0.18
2015-05-19,0.36,0.3,0.8,0.12
2015-05-20,0.93,-0.06,0.68,0.38
2015-05-21,-1.02,-0.09,0.85,0.17
2015-05-22,1.28,0.23,0.03,0.09
2015-05-26,-0.23,-0.22,0.3,0.26
2015-05-27,-1.98,-1.03,0.12,-1.18
2015-05-28,-0.04,0.92,0.17,1.21
2015-05-29,0.13,-0.13,0.39,0.11
2015-06-01,-0.63,-0.63,0.06,-0.8
2015-06-02,-0.95,0.21,0.03,-0.44
2015-06-03,-0.85,-0.1,-0.13,-0.36
2015-06-04,0.54,0.21,-0.34,0.32
2015-06-05,-0.21,-0.86,0.07,-1.31
2015-06-08,-0.29,-0.14,-0.13,-0.8
2015-06-09,-0.28,-0.65,-0.02,-0.21
2015-06-10,-0.55,0.04,-1.76,-0.53
2015-06-11,0.08,1.2,-0.25,1.13
2015-06-12,-0.26,0.17,1.68,0.24
2015-06-15,-0.37,-0.7,0.12,-0.9
2015-06-16,-0.9,-0.46,-0.09,-1.1
2015-06-17,0.24,0.57,-0.64,-0.01
2015-06-18,0.24,0.2,-0.19,-0.44
2015-06-19,0.07,0.99,-1.13,0.41
2015-06-22,0.46,-0.53,0.92,0.04
2015-06-23,1.41,0.61,1.26,1.72
2015-06-24,0.17,0.06,1.87,0.13
2015-06-25,-0.45,-0.74,0.28,0.15
