Symbol,Name,year,gross_profit,oper_income
A005690,파미셀,2019,40.12,6.05
A272210,한화시스템,2019,15.23,5.55
A006120,SK디스커버리,2019,8.42,3.46
A020560,아시아나항공,2019,3.98,-6.37
A007570,일양약품,2019,55.08,10.02
A214320,이노션,2019,40.49,9.56
A336370,두산솔루스,2019,33.72,14.54
A175330,JB금융지주,2019,51.18,20.14
A001740,SK네트웍스,2019,8.54,0.84
A011000,진원생명과학,2019,31.25,-19.90
A073240,금호타이어,2019,22.53,2.42
A192080,더블유게임즈,2019,100.00,30.09
A271980,제일약품,2019,22.63,0.06
A069620,대웅제약,2019,42.96,4.01
A032350,롯데관광개발,2019,25.78,-18.26
A031430,신세계인터내셔날,2019,58.73,5.93
A161890,한국콜마,2019,28.06,7.65
A120110,코오롱인더,2019,25.66,3.92
A018670,SK가스,2019,8.30,3.84
A069260,휴켐스,2019,21.67,16.12
A192820,코스맥스,2019,13.79,4.06
A284740,쿠쿠홈시스,2019,62.86,18.18
A000670,영풍,2019,7.06,2.74
A023590,다우기술,2019,27.85,15.64
A093370,후성,2019,20.73,5.40
A003690,코리안리,2019,73.48,2.34
A057050,현대홈쇼핑,2019,43.55,5.88
A003240,태광산업,2019,34.90,9.99
A001680,대상,2019,25.45,4.38
A114090,GKL,2019,27.33,19.73
A016380,KG동부제철,2019,5.72,1.43
A241590,화승엔터프라이즈,2019,15.33,7.11
A363280,티와이홀딩스,2019,,
A210980,SK디앤디,2019,29.03,18.09
A001800,오리온홀딩스,2019,44.13,12.68
A002320,한진,2019,8.20,4.40
A000150,두산,2019,17.04,6.81
A005300,롯데칠성,2019,40.49,4.43
A001440,대한전선,2019,6.37,2.14
A006040,동원산업,2019,15.22,7.22
A298020,효성티앤씨,2019,9.42,5.40
A014820,동원시스템즈,2019,12.54,7.21
A003850,보령제약,2019,42.53,7.45
A064960,S&T모티브,2019,15.70,9.14
A079160,CJ CGV,2019,40.42,6.28
A000640,동아쏘시오홀딩스,2019,34.42,6.86
A071840,롯데하이마트,2019,24.85,2.73
A192650,드림텍,2019,13.72,5.44
A003230,삼양식품,2019,28.91,14.40
A005850,에스엘,2019,9.27,1.93
A005440,현대그린푸드,2019,17.22,2.88
A001120,LG상사,2019,6.78,1.28
A103140,풍산,2019,7.65,1.68
A011930,신성이엔지,2019,12.82,2.15
A170900,동아에스티,2019,50.95,9.24
A020000,한섬,2019,59.64,8.46
A034310,NICE,2019,100.00,8.21
A097230,한진중공업,2019,10.90,5.15
A081000,일진다이아,2019,29.24,8.21
A005880,대한해운,2019,17.87,12.81
A003540,대신증권,2019,17.71,3.70
A339770,교촌에프앤비,2019,25.29,10.35
A033270,유나이티드제약,2019,58.10,15.58
A085620,미래에셋생명,2019,45.40,4.04
A105630,한세실업,2019,20.90,3.07
A009450,경동나비엔,2019,34.18,5.79
A001470,삼부토건,2019,7.66,2.19
A192400,쿠쿠홀딩스,2019,41.44,14.10
A049770,동원F&B,2019,22.50,3.35
A033660,아주캐피탈,2019,31.57,18.41
A226320,잇츠한불,2019,55.68,5.35
A001230,동국제강,2019,8.98,2.91
A001060,JW중외제약,2019,31.51,-3.72
A089590,제주항공,2019,9.87,-2.38
A079550,LIG넥스원,2019,9.50,1.25
A018250,애경산업,2019,48.46,8.64
A298050,효성첨단소재,2019,11.69,5.18
A042700,한미반도체,2019,41.62,11.40
A280360,롯데제과,2019,33.54,4.65
A052690,한전기술,2019,27.67,9.82
A012630,HDC,2019,18.59,7.92
A005610,SPC삼립,2019,15.27,1.88
A003470,유안타증권,2019,17.81,3.37
A108670,LG하우시스,2019,23.43,2.16
A039130,하나투어,2019,100.00,0.78
A300720,한일시멘트,2019,18.10,6.23
A017810,풀무원,2019,24.78,1.28
A001820,삼화콘덴서,2019,23.96,14.65
A115390,락앤락,2019,43.90,5.00
A003620,쌍용차,2019,7.38,-7.78
A008490,서흥,2019,19.83,10.29
A267270,현대건설기계,2019,19.09,5.53
A015350,부산가스,2019,15.84,4.47
A286940,롯데정보통신,2019,8.84,4.86
A082640,동양생명,2019,55.27,1.83
A267260,현대일렉트릭,2019,8.66,-8.85
A298040,효성중공업,2019,10.38,3.44
A002350,넥센타이어,2019,30.49,10.25
A000070,삼양홀딩스,2019,18.62,3.19
A000400,롯데손해보험,2019,54.48,-1.93
A353200,대덕전자,2019,,
A001880,대림건설,2019,14.25,11.17
A002840,미원상사,2019,21.94,12.90
A005180,빙그레,2019,26.32,5.21
A268280,미원에스씨,2019,19.10,12.33
A145990,삼양사,2019,18.30,3.89
