Symbol,Name,year,asset,lev,sales,gross_profit,oper_income,net_income
A105560,KB금융,2019,518538,1225.53,14639,19.5,9.52,7.02
A105630,한세실업,2019,1179,159.22,1922,20.9,3.07,-0.9
A105840,우진,2019,200,50.59,89,20.09,-2.21,-15.74
A108670,LG하우시스,2019,2566,180.09,3187,23.43,2.16,0.36
A111110,호전실업,2019,292,134.82,310,20.5,6.24,0.89
A111770,영원무역,2019,3105,57.67,2388,25.37,9.95,7.3
A112610,씨에스윈드,2019,736,98.9,799,14.21,7.52,4.34
A114090,GKL,2019,909,55.41,491,27.33,19.73,14.75
A115390,락앤락,2019,800,16.95,486,43.9,5,3.37
A117580,대성에너지,2019,697,127.49,775,14.77,3.13,1.68
A118000,우리들휴브레인,2019,70,94.25,56,7.66,-0.15,-8.56
A119650,KC코트렐,2019,332,335.56,301,11.66,2.83,0.22
A120030,조선선재,2019,121,9.57,64,31.63,22.05,20
A120110,코오롱인더,2019,5293,148.93,4407,25.66,3.92,0.5
A122900,아이마켓코리아,2019,1097,157.16,2924,5.48,1.78,0.88
A123690,한국화장품,2019,81,131.03,131,55.43,-13.26,-13.13
A123700,SJM,2019,220,25.97,158,21.3,4.09,4.8
A123890,한국자산신탁,2019,1238,87.07,223,68.58,51.09,40.13
A126560,현대퓨처넷,2019,813,9.71,293,36.76,13.93,12.91
A128820,대성산업,2019,1032,166.55,870,11.19,-1.11,-7.25
A128940,한미약품,2019,1914,132.74,1114,56.79,9.33,5.73
A129260,인터지스,2019,420,133.1,478,7.27,1.36,-9.21
A130660,한전산업,2019,189,120.13,314,12.59,6.87,5.52
A133820,화인베스틸,2019,211,128.77,135,3.86,-2.1,-5.56
A134380,미원화학,2019,119,16.57,155,17.8,10.01,8.73
A134790,시디즈,2019,67,109.33,193,20.15,4.48,4.05
A136490,선진,2019,983,196.82,1014,17.01,3.96,2
A138040,메리츠금융지주,2019,61764,935.99,1832,5.72,4.31,3.53
A138250,엔에스쇼핑,2019,921,115.9,498,83.14,5.77,-1.51
A138490,코오롱플라스틱,2019,339,71.37,330,11.51,3.12,1.63
A138930,BNK금융지주,2019,104539,1038.62,3629,41.42,15.28,11.34
A139130,DGB금융지주,2019,72398,1233.7,2194,28.48,8.72,7.32
A139480,이마트,2019,21095,106.67,19063,25.66,0.79,1.17
A143210,핸즈코퍼레이션,2019,851,162.46,618,13.22,3.03,1.14
A144620,코오롱머티리얼,2019,125,77.11,99,8.02,-6.78,-45.11
A145210,세화아이엠씨,2019,158,637.22,99,9.72,-10.57,-5.58
A145720,덴티움,2019,547,164.9,253,66.35,17.68,5.43
A145990,삼양사,2019,2388,84.49,2096,18.3,3.89,2.52
A152330,코리아오토글라스,2019,498,37.97,456,22.9,12.62,7.24
A155660,DSR,2019,240,54.77,236,12.47,4.51,3.72
A161000,애경유화,2019,493,36.9,1017,9.42,4.61,2.99
A161390,한국타이어앤테크놀로지,2019,10165,41.43,6883,27.92,7.9,6.24
A161890,한국콜마,2019,2400,183.1,1541,28.06,7.65,2.18
A163560,동일고무벨트,2019,281,45.44,262,17.72,5.52,3.16
A170900,동아에스티,2019,1009,56.19,612,50.95,9.24,11.58
A175330,JB금융지주,2019,47530,1144.3,1893,51.18,20.14,15.04
A180640,한진칼,2019,2694,89.6,1203,11.18,-0.32,-21.54
A181710,NHN,2019,2500,36.73,1489,100,5.82,1.56
A183190,아세아시멘트,2019,1916,137.72,837,21.1,9.66,3.45
A185750,종근당,2019,801,68.72,1079,37.46,6.91,4.91
A192080,더블유게임즈,2019,1075,66.07,514,100,30.09,21.46
A192400,쿠쿠홀딩스,2019,813,20.62,528,41.44,14.1,15.04
A192650,드림텍,2019,377,70.55,560,13.72,5.44,4.18
A192820,코스맥스,2019,1204,280.56,1331,13.79,4.06,1.38
A194370,제이에스코퍼레이션,2019,202,28.5,253,19.04,4.39,3.25
A195870,해성디에스,2019,327,56.61,381,14.96,7.09,4.78
A200880,서연이화,2019,1821,192.88,1977,10.56,1.11,-2.45
A204320,만도,2019,4596,189.83,5982,13.94,3.65,1.98
A207940,삼성바이오로직스,2019,5912,35.76,702,27.37,13.08,28.92
A210540,디와이파워,2019,263,57.22,343,15.46,7.55,5.56
A210980,SK디앤디,2019,1397,286.51,455,29.03,18.09,9.87
A213500,한솔제지,2019,1743,184.81,1913,17.85,5.51,2.09
A214320,이노션,2019,2076,165.75,1274,40.49,9.56,7.42
A214330,금호에이치티,2019,322,86.57,251,5.8,1.62,-0.03
A214390,경보제약,2019,238,59.43,192,21.24,3.23,2.76
